company,filename,page,period,Revenue,COGS,Gross Profit,Operating Expenses,Operating Income,Net Income,period_numeric
DIPD,670_1501578658549.pdf,5,FY2006,8044601.0,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,3394884.979452055,2006
DIPD,670_1509618170616.pdf,3,FY2019,24334423.0,20345895.0,3988528.0,-2279432.0,6267960.0,917734.0,2019
DIPD,670_1509618170616.pdf,4,FY2023,1792509.0,1381449.0,411060.0,-404625.0,815685.0,356931.0,2023
DIPD,670_1509618170616.pdf,5,FY2011,10852928.310344828,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,917734.0,2011
DIPD,670_1509618170616.pdf,6,FY2014,10852928.310344828,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,356931.0,2014
DIPD,670_1509618170616.pdf,7,FY2021,8044601.0,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,3394884.979452055,2021
DIPD,670_1509618170616.pdf,8,FY2017,10852928.310344828,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,-21493.0,2017
DIPD,670_1517303988584.pdf,3,FY2016,10852928.310344828,20345895.0,3988528.0,-2279432.0,6267960.0,917734.0,2016
DIPD,670_1517303988584.pdf,4,FY2006,10852928.310344828,1381449.0,411060.0,-404625.0,815685.0,356931.0,2006
DIPD,670_1517303988584.pdf,5,FY2022,10852928.310344828,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,917734.0,2022
DIPD,670_1517303988584.pdf,6,FY2007,10852928.310344828,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,356931.0,2007
DIPD,670_1517303988584.pdf,7,FY2016,8044601.0,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,3394884.979452055,2016
DIPD,670_1517303988584.pdf,8,FY2017,10852928.310344828,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,85251.0,2017
DIPD,670_1526549280300.pdf,4,FY2014,2266036.0,1836512.0,429524.0,-452036.0,881560.0,163332.0,2014
DIPD,670_1526549280300.pdf,5,FY2009,10852928.310344828,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,800850.0,2009
DIPD,670_1526549280300.pdf,6,FY2018,10852928.310344828,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,163332.0,2018
DIPD,670_1526549280300.pdf,7,FY2008,8693473.0,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,3394884.979452055,2008
DIPD,670_1533635380826.pdf,4,FY2007,10852928.310344828,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,800850.0,2007
DIPD,670_1533635380826.pdf,5,FY2013,8693473.0,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,3394884.979452055,2013
DIPD,670_1533635380826.pdf,9,FY2018,15.0,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,3394884.979452055,2018
DIPD,670_1542014090242.pdf,4,FY2016,2266036.0,1836512.0,429524.0,-452036.0,881560.0,163332.0,2016
DIPD,670_1542014090242.pdf,5,FY2021,10852928.310344828,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,800850.0,2021
DIPD,670_1542014090242.pdf,6,FY2010,10852928.310344828,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,163332.0,2010
DIPD,670_1542014090242.pdf,7,FY2021,8693473.0,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,3394884.979452055,2021
DIPD,670_1542014090242.pdf,8,FY2018,10852928.310344828,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,1.0,2018
DIPD,670_1542014090242.pdf,11,FY2018,15.0,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,3394884.979452055,2018
DIPD,670_1548840654892.pdf,4,FY2010,10852928.310344828,1836512.0,429524.0,-452036.0,881560.0,163332.0,2010
DIPD,670_1548840654892.pdf,5,FY2017,10852928.310344828,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,800850.0,2017
DIPD,670_1548840654892.pdf,6,FY2008,10852928.310344828,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,163332.0,2008
DIPD,670_1548840654892.pdf,7,FY2008,8693473.0,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,3394884.979452055,2008
DIPD,670_1548840654892.pdf,8,FY2018,10852928.310344828,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,2.0,2018
DIPD,670_1548840654892.pdf,11,FY2018,15.0,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,3394884.979452055,2018
DIPD,670_1557999652763.pdf,3,FY2005,10852928.310344828,25143301.0,4946017.0,-2805922.0,7751939.0,1223826.0,2005
DIPD,670_1557999652763.pdf,4,FY2022,10852928.310344828,3025141.0,873224.0,-621200.0,1494424.0,327767.0,2022
DIPD,670_1557999652763.pdf,5,FY2019,10852928.310344828,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,1223826.0,2019
DIPD,670_1557999652763.pdf,6,FY2018,10852928.310344828,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,327767.0,2018
DIPD,670_1557999652763.pdf,7,FY2009,9249276.0,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,3394884.979452055,2009
DIPD,670_1564736854575.pdf,4,FY2022,10852928.310344828,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,1223826.0,2022
DIPD,670_1564736854575.pdf,5,FY2020,9249276.0,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,3394884.979452055,2020
DIPD,670_1572858262573.pdf,3,FY2017,10852928.310344828,25143301.0,4946017.0,-2805922.0,7751939.0,1223826.0,2017
DIPD,670_1572858262573.pdf,4,FY2014,10852928.310344828,3025141.0,873224.0,-621200.0,1494424.0,327767.0,2014
DIPD,670_1572858262573.pdf,5,FY2009,10852928.310344828,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,1223826.0,2009
DIPD,670_1572858262573.pdf,6,FY2008,10852928.310344828,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,327767.0,2008
DIPD,670_1572858262573.pdf,7,FY2010,9249276.0,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,3394884.979452055,2010
DIPD,670_1572858262573.pdf,8,FY2019,10852928.310344828,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,3.0,2019
DIPD,670_1581501936280.pdf,3,FY2008,10852928.310344828,25143301.0,4946017.0,-2805922.0,7751939.0,1223826.0,2008
DIPD,670_1581501936280.pdf,4,FY2017,10852928.310344828,3025141.0,873224.0,-621200.0,1494424.0,327767.0,2017
DIPD,670_1581501936280.pdf,5,FY2009,10852928.310344828,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,1223826.0,2009
